task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/homes/nashville_price_filter/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Nashville, TN starting with a minimum price of $350,000."", ""location"": ""Nashville, TN, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.homes.com/nashville-tn/?price-min=350000&ssit=Homes%20for%20sale%20in%20Nashville,%20TN%20starting%20at%20$350,000.""]]}",real,homes,realestate,nashville_price_filter,null,null,null,validation,null
navi_bench/homes/nashville_beds_price_range/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Nashville, TN with 2 to 5 bedrooms, priced between $500,000 and $900,000."", ""location"": ""Nashville, TN, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.homes.com/nashville-tn/2-to-5-bedroom/?price-min=500000&price-max=900000&ssit=Homes%20for%20sale%20in%20Nashville,%20TN%20with%202%20to%205%20bedrooms,%20starting%20at%20$500,000%20and%20up%20to%20$900,000.""]]}",real,homes,realestate,nashville_beds_price_range,null,null,null,validation,null
navi_bench/homes/nashville_complex_filters/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Nashville, TN with area between 1,000 and 2,500 square feet, having at least 2 parking spaces, of at least 1 floor and built after 2015."", ""location"": ""Nashville, TN, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.homes.com/nashville-tn/?sfmin=1000&sfmax=2500&yb-min=2015&st-min=1&parking=2&ssit=Homes%20for%20sale%20in%20Nashville,%20TN%20with%20at%20least%202%20parking%20spaces,%20between%201,000%20and%202,500%20square%20feet,%20built%20after%202015,%20and%20at%20least%201%20floor.""]]}",real,homes,realestate,nashville_complex_filters,null,null,null,validation,null
navi_bench/homes/chicago_amenities/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Chicago, IL with pet-friendly units, private elevator, dishwasher facility and a fireplace."", ""location"": ""Chicago, IL, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.homes.com/chicago-il/?am=31,71,36,6&ssit=Homes%20for%20sale%20in%20Chicago,%20IL%20with%20pet-friendly%20units,%20private%20elevators,%20dishwashers,%20and%20fireplaces.""]]}",real,homes,realestate,chicago_amenities,null,null,null,validation,null
navi_bench/homes/new_york_listing_type_amenities/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in New York, NY, including resale and new construction options with in-unit laundry facility and community pools."", ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.homes.com/new-york-ny/?listing_type=1,2&am=32,5&ssit=Homes%20for%20sale%20in%20New%20York,%20NY,%20including%20resale%20and%20new%20construction%20options%20with%20in-unit%20laundry%20and%20community%20pools.""]]}",real,homes,realestate,new_york_listing_type_amenities,null,null,null,validation,null
navi_bench/homes/new_york_condos_transit/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find condos for sale in New York, NY with at least 1 bathroom, 1 bedroom, and 500+ square feet, near Manhattan Avenue via public transport."", ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.homes.com/condos-for-sale/?sk=JeIKMv4UUNn2LVUJO9KGZ5NZQhyMzu-prcLRop4m2JM&bb=2x88knq0wH3qnpn9E""]]}",real,homes,realestate,new_york_condos_transit,null,null,null,validation,null
navi_bench/homes/rental_map_search/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find 2-bedroom homes for rent in New York, NY area with 2 to 5 bedrooms and a maximum price of $2,500."", ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.homes.com/new-york-ny/homes-for-rent/2-to-5-bedroom/?price-max=2500&ssit=Rent%20homes%20in%20New%20York,%20NY%20with%202%20to%205%20bedrooms%20and%20a%20price%20under%20$2,500.""]]}",real,homes,realestate,rental_map_search,null,null,null,validation,null
navi_bench/homes/la_new_homes_features/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find new homes for sale in Los Angeles, CA, excluding senior communities, with mountain views and lots of at least 3,000 square feet."", ""location"": ""Los Angeles, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/new-homes/for-sale/los-angeles-ca/?ls-min=3000sf&am=53,20&ssit=New%20homes%20in%20Los%20Angeles,%20CA,%20excluding%20senior%20communities,%20with%20mountain%20views%20and%20lots%20of%20at%20least%203,000%20square%20feet.""]]}",real,homes,realestate,la_new_homes_features,null,null,null,validation,null
navi_bench/homes/manhattan_condos_multifamily/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find condos and multi-family homes for sale in Manhattan, NY with a fireplace and central AC unit."", ""location"": ""Manhattan, NY, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.homes.com/manhattan-ny/?property_type=4,16&am=6,16&ssit=For%20sale%20condos%20and%20multi-family%20homes%20with%20a%20fireplace%20and%20central%20AC%20in%20Manhattan,%20NY.""]]}",real,homes,realestate,manhattan_condos_multifamily,null,null,null,validation,null
navi_bench/homes/seattle_studio_rentals/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find studio homes (no bedrooms) for rent in Seattle, WA with a maximum price of $1,200."", ""location"": ""Seattle, WA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/seattle-wa/homes-for-rent/studio/?price-max=1200&ssit=Rent%20homes%20in%20Seattle,%20WA%20with%20no%20bedrooms%20and%20a%20maximum%20price%20of%20$1,200.""]]}",real,homes,realestate,seattle_studio_rentals,null,null,null,validation,null
navi_bench/homes/san_diego_price_range/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in San Diego, CA priced in the range of $400,000 to $700,000."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/?price-min=400000&price-max=700000&ssit=Homes%20for%20sale%20in%20San%20Diego,%20CA,%20priced%20between%20$400,000%20and%20$700,000.""]]}",real,homes,realestate,san_diego_price_range,null,null,null,validation,null
